,open,high,low,close,vol
20161208,65400,65700,64200,65500,
20161207,63800,64800,63100,64700,
20161206,63500,64900,63500,63600,
20161205,63900,64500,62000,63400,
20161202,65800,66800,63200,63900,
20161201,66800,66800,65100,65600,
20161130,68000,68300,65200,66300,
20161129,68500,68700,67400,67700,
20161128,69100,69400,68200,69000,
20161125,68800,69100,67800,68800,
20161124,67500,69800,67500,68000,
20161123,68500,68700,66600,67100,
20161122,68800,69700,68100,68300,
20161121,68200,70500,67600,68200,
20161118,69200,69200,67300,68100,
20161117,66100,69300,66100,69000,
20161116,64900,66500,64500,65000,
20161115,67800,68100,63800,64300,
20161114,69100,69900,68200,68800,
20161111,72300,72300,69300,69500,
20161110,66100,72600,66000,71100,
20161109,63000,67500,60100,64000,
20161108,64200,64200,61900,62800,
20161107,62100,64400,61900,63900,
20161104,60900,62700,60400,61900,
20161103,58400,61100,58200,60800,
20161102,62000,62100,56700,58900,
20161101,63500,64500,62200,62200,
20161031,66200,66800,64700,64800,
20161028,69000,69200,67900,67900,
20161027,69000,69900,67200,69500,
20161026,72000,72100,68000,69000,
20161025,72600,73300,71600,72500,
20161024,71900,73000,71500,72400,
20161021,71000,71900,69700,71700,
20161020,73500,73600,69600,71100,
20161019,73200,73900,72600,73400,
20161018,72500,74600,72500,73100,
20161017,73000,73600,72100,72700,
20161014,73500,74500,72600,72900,
20161013,77000,77000,72900,73500,
20161012,80600,80800,77200,77400,
20161011,81400,81500,80400,80500,
20161010,79800,80700,79500,80600,
20161007,79200,79500,78900,79300,
20161006,79300,79600,78800,79500,
20161005,78800,79500,78200,78900,
20161004,76400,79000,76400,78800,
20160930,77000,77400,75900,76300,
20160929,78000,78400,77200,77500,
20160928,78700,79600,77100,77800,
20160927,78600,79600,78400,79000,
20160926,78100,79900,78000,79100,
20160923,80800,82000,77500,78900,
20160922,81600,83200,81600,82800,
20160921,81300,81700,80000,81000,
20160920,82400,82700,81400,81800,
20160919,83000,85300,82500,82700,
20160913,82800,83900,80600,83400,
20160912,81100,83100,81100,81200,
20160909,83300,83600,81900,82600,
20160908,83800,84400,83000,83900,
20160907,84700,86100,83500,83500,
20160906,86000,86600,84000,84600,
20160905,85000,86500,84500,86400,
20160902,84600,84900,83600,84500,
20160901,84800,84900,83100,84600,
20160831,86000,87700,84100,84700,
20160830,79700,85500,79700,85200,
20160829,79000,80000,78400,79300,
20160826,80300,80500,78400,78800,
20160825,80000,80500,79600,80000,
20160824,78100,80000,78100,80000,
20160823,78800,79500,77200,78400,
20160822,80300,80600,79200,79600,
20160819,79700,80700,79500,80300,
20160818,80100,80200,79000,79500,
20160817,80500,80500,78800,80100,
20160816,80800,81200,80500,80900,
20160812,81600,81600,80500,80900,
20160811,80600,81200,80200,81200,
20160810,81200,81300,80300,80600,
20160809,80900,81900,80800,81200,
20160808,80400,81000,80200,80800,
20160805,78900,80800,78900,80100,
20160804,79000,79400,77800,78800,
20160803,78700,78800,77100,78200,
20160802,80100,80500,79300,79500,
20160801,80600,81000,79100,80800,
20160729,80600,81800,80400,80600,
20160728,81600,81700,80200,81000,
20160727,80600,82400,80600,81000,
20160726,80000,81000,79300,79500,
