,open,high,low,close,vol
20160321,30000,30050,29000,29000,
20160318,29400,30200,29400,29850,
20160317,28500,29000,28500,28950,
20160316,28700,28700,28250,28400,
20160315,28600,28850,28000,28650,
20160314,29100,29150,28400,28550,
20160311,28800,29200,28250,28950,
20160310,28450,29000,28000,28900,
20160309,28850,28850,27400,28150,
20160308,28900,29100,28300,28950,
20160307,29000,29300,28550,28600,
20160304,28400,28850,28250,28800,
20160303,28500,28600,28100,28400,
20160302,28100,28450,28050,28350,
20160229,27050,27950,27050,27950,
20160226,27700,27700,26800,26950,
20160225,27300,28000,27300,27700,
20160224,26500,27150,26450,26950,
20160223,26600,27050,26350,27050,
20160222,26500,26800,26000,26300,
20160219,25900,26500,25900,26350,
20160218,25650,26050,25650,26000,
20160217,25500,26000,25200,25550,
20160216,25550,25800,25100,25400,
20160215,25000,26050,24950,25450,
20160212,24650,25250,24100,24650,
20160211,25050,25450,24650,24650,
20160205,26100,26350,25600,25750,
20160204,25900,26150,25500,26100,
20160203,25050,25750,24700,25500,
20160202,25400,25900,25000,25500,
20160201,24750,25800,24500,25650,
20160129,24100,24300,23850,24200,
20160128,23800,24000,23400,23850,
20160127,23100,23950,23100,23850,
20160126,23500,23500,22650,22900,
20160125,23850,24200,23400,23550,
20160122,23100,23750,23100,23650,
20160121,22850,23100,22500,23000,
20160120,23800,23850,22500,22800,
20160119,24900,24900,23500,23700,
20160118,24700,24950,24350,24850,
20160115,25100,25250,24550,24750,
20160114,24850,24950,24550,24950,
20160113,24900,25450,24900,25000,
20160112,25150,25450,24800,25000,
20160111,25800,25800,25250,25450,
20160108,25600,26250,24850,26100,
20160107,26800,26900,25700,25900,
20160106,26900,27350,26600,26850,
20160105,26550,27150,26500,27000,
20160104,27050,27550,26450,26600,
20151230,27550,27950,27300,27550,
20151229,27750,27900,27250,27500,
20151228,28150,28350,27750,27750,
20151224,28600,28900,28200,28400,
20151223,27950,29050,27600,28300,
20151222,27650,27950,27450,27950,
20151221,27700,27850,27600,27650,
20151218,27500,27900,27300,27650,
20151217,27950,27950,27350,27750,
20151216,26550,27800,26550,27700,
20151215,26500,26750,26300,26550,
20151214,26600,26850,26100,26350,
20151211,26350,26700,26350,26600,
20151210,26150,26400,25950,26300,
20151209,25600,26150,25300,26100,
20151208,26200,26500,25500,25900,
20151207,26650,26900,26150,26450,
20151204,26550,26750,26100,26450,
20151203,26350,27150,26150,26850,
20151202,26750,27000,26450,26450,
20151201,26350,27050,26300,26850,
20151130,26300,26500,25950,26150,
20151127,26400,26550,25950,26550,
20151126,26400,26500,26000,26400,
20151125,25250,26350,25250,26300,
20151124,25400,25650,25200,25350,
20151123,25700,25750,25300,25500,
20151120,25300,25800,25250,25700,
20151119,25400,25650,25300,25400,
20151118,25250,25550,25050,25350,
20151117,24600,25350,24600,25350,
20151116,24700,24700,24350,24500,
20151113,24800,25050,24600,25000,
20151112,24550,25150,24250,25100,
20151111,24500,24850,24250,24650,
20151110,24800,24900,24500,24550,
20151109,25150,25150,24800,24850,
20151106,25550,25650,25100,25150,
20151105,25850,25850,25250,25700,
20151104,26200,26200,25750,25950,
20151103,25700,26200,25550,26150,
20151102,25700,25700,25350,25350,
20151030,26500,26500,25650,25750,
20151029,26750,26750,26300,26550,
20151028,27400,27400,26650,27200,
20151027,27450,27450,27050,27150,
20151026,27300,27700,26650,27300,
20151023,26750,27300,26750,27000,
20151022,26750,26950,26450,26550,
20151021,26650,27150,26450,26950,
20151020,26650,26850,26300,26650,
20151019,27000,27500,26700,26900,
20151016,27400,27450,26900,27100,
20151015,27300,27600,27050,27400,
20151014,26900,27400,26450,27200,
20151013,27850,27850,26800,27150,
20151012,27000,28000,27000,27900,
20151008,25650,26950,25650,26400,
20151007,25900,26050,25450,25550,
20151006,25400,26050,25400,25700,
20151005,25350,25400,25050,25200,
20151002,25800,26000,25150,25350,
20151001,25400,26000,25200,25800,
20150930,24750,25200,24500,25100,
20150925,25100,25250,24550,25250,
20150924,25100,25100,24800,24950,
20150923,25650,25650,24750,25000,
20150922,25700,26350,25650,26100,
20150921,26750,26750,25600,25650,
20150918,27600,27650,26400,26800,
20150917,26450,28050,26200,27750,
20150916,26100,26350,25650,26150,
20150915,25350,26000,25200,25800,
20150914,25600,25700,25250,25550,
20150911,24900,25750,24850,25650,
20150910,24950,25350,24600,25350,
20150909,24100,25600,23950,25500,
20150908,23850,24000,23500,23600,
20150907,23700,24150,23450,23950,
20150904,24100,24300,23750,23950,
20150903,24050,24150,23850,23950,
20150902,23850,24000,23400,23950,
20150901,24500,24550,24150,24150,
20150831,24300,24800,24100,24550,
20150828,24450,24950,24050,24650,
20150827,24550,24550,23700,23850,
20150826,23050,24450,22850,24450,
20150825,23350,23400,22650,23000,
20150824,23050,23850,22900,23250,
20150821,24650,25250,23500,23600,
20150820,24800,25200,24150,24200,
20150819,25550,25600,24500,25200,
20150818,25800,25950,25600,25750,
20150817,26000,26100,25750,25900,
20150813,26000,26100,25750,26050,
20150812,26150,26200,25700,25950,
20150811,25650,26400,25650,26150,
20150810,26200,26200,25400,25500,
20150807,26850,26900,26200,26350,
20150806,26800,27300,26800,26950,
20150805,26950,27300,26800,26850,
20150804,26500,27050,26200,27000,
20150803,26250,26600,26150,26400,
20150731,26050,26350,25500,26300,
20150730,25700,26100,25600,25800,
20150729,26400,26500,25450,25550,
20150728,25350,25650,25300,25350,
20150727,25700,25900,25350,25700,
20150724,26300,26350,25550,26100,
20150723,27150,27150,26150,26400,
20150722,27100,27300,26950,27150,
20150721,27250,27750,27050,27300,
20150720,27000,27400,26750,27200,
20150717,27200,27350,26800,27000,
20150716,27300,27450,26950,27100,
20150715,27050,27400,26850,27200,
20150714,26850,27200,26700,26850,
20150713,26450,26850,26200,26800,
20150710,26500,26750,26250,26350,
20150709,26050,26450,25600,26450,
20150708,26200,26300,25700,26050,
20150707,26600,26750,25850,26300,
20150706,27300,27500,26400,26450,
20150703,27300,27750,27000,27650,
20150702,26650,26650,26050,26300,
20150701,26450,26500,26050,26350,
20150630,25550,26000,25450,26000,
20150629,25850,26250,25700,25950,
20150626,26700,26900,26350,26700,
